project_id,task_code,task_name,phase,opt_o,likely_m,pess_p,pred
P23,T_PRE,Pre-Production Validation,PREPROD,5.23,7.17,8.76,T_REM
P23,T_PIL,Pilot Deployment,PILOT,5.26,6.81,8.11,T_PRE
P23,T_ROL,Full Production Rollout,ROLLOUT,5.04,6.39,8.27,T_PIL
P24,T_INIT,Project Initiation,INIT,6.23,10.68,16.81,
P24,T_REQ,Requirements Gathering,REQ,4.97,11.22,15.73,T_INIT
P24,T_DES,Solution Architecture & Design,DESIGN,5.33,10.31,14.35,T_REQ
P24,T_GOV,Security Policy / Governance,GOV,5.7,9.17,13.94,T_DES
P24,T_BA,Core Implementation Stream A,BUILD_A,14.17,21.25,32.07,T_DES;T_GOV
P24,T_BB,Implementation Stream B,BUILD_B,11.07,17.15,23.41,T_DES;T_GOV
P24,T_BC,Implementation Stream C,BUILD_C,7.97,15.12,22.22,T_DES;T_GOV
P24,T_INT,Systems Integration,INTEGRATE,9.18,13.93,19.97,T_BA;T_BB;T_BC
P24,T_DOC,Compliance Documentation,DOC,6.57,10.55,16.26,T_GOV
P24,T_UAT,User Acceptance Testing,UAT,6.14,12.1,17.92,T_INT;T_DOC
P24,T_SEC,Security Testing / Penetration Testing,SEC_TEST,6.43,12.75,19.36,T_UAT
P24,T_REM,Vulnerability Remediation,REMEDIATE,7.16,12.69,18.26,T_SEC
P24,T_PRE,Pre-Production Validation,PREPROD,5.6,9.42,15.34,T_REM
P24,T_PIL,Pilot Deployment,PILOT,3.1,9.87,14.69,T_PRE
P24,T_ROL,Full Production Rollout,ROLLOUT,4.46,9.34,14.54,T_PIL
